,,,,,,
,ZIP Code,City,County,Land Area (Sq. Meters),Land Area (Sq. Miles),Land Area (Sq. Kilometers)
,98332,"Canterwood, Gig Harbor, Maplewood, Purdy, Rosedale",Pierce County,"54,162,200",21,54
,98333,Fox Island,Pierce County,"13,514,700",5,14
,98335,"Artondale, Gig Harbor, Raft Island, Rosedale, Wollochet",Pierce County,"57,778,400",22,58
,98337,Bremerton,Kitsap County,"2,704,470",1,3
,98338,"Clear Lake, Elk Plain, Graham, Kapowsin, South Creek, South Hill",Pierce County,"139,311,000",54,139
,98339,Port Hadlock-Irondale,Jefferson County,"14,902,900",6,15
,98340,Hansville,Kitsap County,"22,517,000",9,23
,98342,Indianola,Kitsap County,"6,208,870",2,6
,98345,Keyport,Kitsap County,"1,272,140",0,1
,98346,"Hansville, Indianola, Kingston, Port Gamble Tribal Comunity",Kitsap County,"71,464,200",28,71
,98349,"Herron Island, Home, Key Center, Longbranch",Pierce County,"55,159,900",21,55
,98351,Longbranch,Pierce County,"22,137,200",9,22
,98354,"Edgewood, Milton","King County, Pierce County","6,237,570",2,6
,98355,Mineral,Lewis County,"491,306,000",190,491
,98356,Morton,Lewis County,"259,126,000",100,259
,98357,Neah Bay,Clallam County,"110,005,000",42,110
,98358,Marrowstone,Jefferson County,"27,655,200",11,28
,98359,Burley,Kitsap County,"36,315,400",14,36
,98360,"Clear Lake, Crocker, Graham, Kapowsin, McMillin, Orting, Prairie Ridge, South Hill",Pierce County,"179,987,000",69,180
,98361,Packwood,Lewis County,"1,187,660,000",459,"1,188"
,98362,"Port Angeles, Port Angeles East",Clallam County,"567,303,000",219,567
,98363,Port Angeles,Clallam County,"1,639,360,000",633,"1,639"
,98365,Port Ludlow,Jefferson County,"96,361,000",37,96
,98366,"Bainbridge Island, Bethel, Bremerton, East Port Orchard, Manchester, Parkwood, Port Orchard, Southworth",Kitsap County,"60,023,700",23,60
,98367,"Bethel, Bremerton, Burley, Gorst, Port Orchard, Southworth",Kitsap County,"208,413,000",80,208
,98368,"Port Hadlock-Irondale, Port Townsend",Jefferson County,"137,584,000",53,138
,98370,"Indianola, Keyport, Lofall, Poulsbo, Silverdale, Suquamish",Kitsap County,"146,489,000",57,146
,98371,"Edgewood, Puyallup, Summit, Waller",Pierce County,"29,868,000",12,30
,98372,"Alderton, Edgewood, North Puyallup, Puyallup, Sumner",Pierce County,"35,314,300",14,35
,98373,"Clover Creek, Puyallup, South Hill, Summit, Summit View",Pierce County,"24,401,200",9,24
,98374,"Alderton, Graham, McMillin, Puyallup, South Hill",Pierce County,"41,032,500",16,41
,98375,"Frederickson, South Hill, Summit View",Pierce County,"25,169,200",10,25
,98376,Quilcene,Jefferson County,"302,920,000",117,303
,98380,Seabeck,Kitsap County,"108,540,000",42,109
,98381,Sekiu,Clallam County,"174,201,000",67,174
,98382,"Bell Hill, Blyn, Carlsborg, James, River Road, Sequim","Clallam County, Jefferson County","444,691,000",172,445
,98383,"Chico, Silverdale",Kitsap County,"46,551,600",18,47
,98385,South Prairie,Pierce County,"1,225,460",0,1
,98387,"Elk Plain, Frederickson, Graham, Parkland, South Creek, South Hill, Spanaway",Pierce County,"73,507,000",28,74
,98388,"Ketron Island, Steilacoom",Pierce County,"23,145,700",9,23
,98390,"Alderton, Auburn, North Puyallup, Pacific, Sumner",Pierce County,"25,032,500",10,25
,98391,"Alderton, Auburn, Bonney Lake, Lake Tapps, Orting, Prairie Heights, Prairie Ridge, Sumner",Pierce County,"99,908,400",39,100
,98392,Suquamish,Kitsap County,"4,256,230",2,4
,98394,"Key Center, Vaughn",Pierce County,"14,363,500",6,14
,98396,"Carbonado, Wilkeson",Pierce County,"35,538,600",14,36
,98402,Tacoma,Pierce County,"2,439,380",1,2
,98403,Tacoma,Pierce County,"2,842,070",1,3
,98404,"Midland, Tacoma, Waller",Pierce County,"19,720,800",8,20
,98405,Tacoma,Pierce County,"10,676,800",4,11
,98406,Tacoma,Pierce County,"11,053,300",4,11
,98407,"Ruston, Tacoma",Pierce County,"14,567,000",6,15
,98408,Tacoma,Pierce County,"8,757,850",3,9
,98409,Tacoma,Pierce County,"18,412,400",7,18
,98416,Tacoma,Pierce County,"269,804",0,0
,98418,Tacoma,Pierce County,"4,359,600",2,4
,98421,"Fife, Tacoma",Pierce County,"17,280,000",7,17
,98422,"Browns Point, Dash Point, Fife Heights, Tacoma",Pierce County,"17,299,000",7,17
,98424,"Fife, Fife Heights, Milton, Tacoma",Pierce County,"16,337,100",6,16
,98430,North Fort Lewis,Pierce County,"992,075",0,1
,98433,"DuPont, Fort Lewis, Lakewood, North Fort Lewis",Pierce County,"51,009,400",20,51
,98438,McChord AFB,Pierce County,"2,204,010",1,2
,98439,"McChord AFB, Lakewood, Fort Lewis",Pierce County,"22,582,100",9,23
,98443,Waller,Pierce County,"13,154,300",5,13
,98444,"Lakewood, Midland, Parkland, Spanaway, Tacoma",Pierce County,"17,425,700",7,17
,98445,"Clover Creek, Frederickson, Midland, Parkland, Spanaway, Summit, Tacoma",Pierce County,"26,979,300",10,27
,98446,"Clover Creek, Frederickson, Summit",Pierce County,"28,470,500",11,28
,98447,Parkland,Pierce County,"122,035",0,0
,98465,Tacoma,Pierce County,"4,304,100",2,4
,98466,"Fircrest, Tacoma, University Place",Pierce County,"15,460,800",6,15
,98467,"Steilacoom, Tacoma, University Place",Pierce County,"11,896,800",5,12
,98498,"Lakewood, Steilacoom",Pierce County,"22,002,800",8,22
,98499,"Lakewood, McChord AFB, Parkland, Tacoma",Pierce County,"23,852,600",9,24
,98501,"Lacey, Olympia, Tumwater",Thurston County,"89,203,400",34,89
,98502,"Olympia, Tumwater",Thurston County,"140,812,000",54,141
,98503,"Lacey, Olympia, Tanglewilde",Thurston County,"29,227,000",11,29
,98506,Olympia,Thurston County,"57,955,600",22,58
